회사명,거래소코드,회계년도,매출액증가율,총자본증가율,유동자산증가율,유형자산증가율,영업이익증가율,순이익증가율
인화정공(주),101930,2019,0.2952577109429859,-0.0643743758230455,-0.09665935246546964,-0.037983442832340786,3.781135388932965,3.781135388932965
일동제약(주),249420,2016,,,,,,
일동제약(주),249420,2017,1.2878820358288796,0.025935027922182163,-0.06253014573188564,-0.0340983424909479,0.5773532273981088,0.5773532273981088
일동제약(주),249420,2018,0.0939031009855047,7.454298072051557e-05,0.02648826850984687,-0.003499206303621216,-0.3588698617743967,-0.3588698617743967
일동제약(주),249420,2019,0.026910357361225712,0.08510022527997507,0.10886761508720744,0.14082543111114565,-2.0568281280339353,-2.0568281280339353
일동홀딩스(주),230,2011,,,,,,
일동홀딩스(주),230,2012,0.04107320876490639,0.05875415962107078,-0.030581138170149513,0.13345690497419227,-0.3703164664408142,-0.3703164664408142
일동홀딩스(주),230,2013,0.08944802233554339,0.15968012231943063,0.20267695838212174,0.12938820569588705,-0.6059790940399922,-0.6059790940399922
일동홀딩스(주),230,2014,0.05638826189145285,-0.012524888142750767,-0.11417309465880343,0.03152892477093827,0.7706253078470586,0.7706253078470586
일동홀딩스(주),230,2015,0.14099432512647803,0.13749089078915788,0.23069253778445953,0.010069287456944354,0.787289147601455,0.787289147601455
일동홀딩스(주),230,2016,-0.9144153138778814,-0.7107753972004138,-0.7360859341267192,-0.8410650180707364,-1.2034722859671476,11.47926164920996
일동홀딩스(주),230,2017,0.007343259293695281,0.3466687051352513,-0.26655445325814786,0.004288911057419131,-1.0053327023333711,-0.9999130511752494
일동홀딩스(주),230,2018,0.14558732592166823,-0.034094337465218394,-0.05874306592651546,-0.0032531135929191324,-166.5598617411968,-166.5598617411968
일동홀딩스(주),230,2019,5.210865875943844,2.0347323688102934,3.796472647594614,5.27756010011947,9.426959278245187,9.426959278245187
일성건설(주),13360,2011,0.4520004749241653,0.0673742377983757,0.15335777397806782,0.08347928765078372,-0.051446660100172736,-0.051446660100172736
일성건설(주),13360,2012,0.026707119486847786,0.021061102060376813,0.013855835418511875,0.10948447946774942,-4.839988271531897,-4.839988271531897
일성건설(주),13360,2013,0.04704663292444611,0.07427649870348052,0.0025245997160965317,0.15557754210677022,0.0,0.0
일성건설(주),13360,2014,-0.25686798726009175,-0.07035146408734005,-0.1412644144722155,0.4981040136725181,11.562813753229634,11.562813753229634
일성건설(주),13360,2015,0.2031427068751832,-0.027425063907890457,0.010200630361965723,-0.14620504686464675,-1.0514317217812725,-1.0514317217812725
일성건설(주),13360,2016,0.23665639589374643,0.07759404078773446,0.08655569084019099,-0.044308962514896244,0.07819166925994647,0.07819166925994647
