회사명,거래소코드,회계년도,재고자산(*)(IFRS),매입채무(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),매출액(수익)(*)(IFRS),이자비용(IFRS),유형자산(*)(IFRS),자본(*)(IFRS),당기순이익(손실)(IFRS),연구개발비(IFRS)
(주)가비아,079940,2015/12,0,1496985,10152135,48446932,159930,22210592,42470259,4288423,101126
(주)가비아,079940,2016/12,0,1575303,9339489,49430564,119467,22429866,45413712,3544032,113382
(주)가비아,079940,2017/12,0,2413820,8670614,52365659,117130,22362004,47662984,2493743,776111
(주)가비아,079940,2018/12,0,1771040,9241321,55197652,158738,24425180,49832912,2762732,446294
(주)가비아,079940,2019/12,0,2058371,13243609,58254105,251017,39724951,54084066,4654769,0
(주)가온칩스,399720,2018/12,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,334913,125108,-3800024,1484593,947886,2980005,21237036,-5754141,3798708
(주)강스템바이오텍,217730,2016/12,582808,276004,-7796613,842805,482568,4039297,22976911,-8300375,5529149
(주)강스템바이오텍,217730,2017/12,1725225,1239629,-10267751,5394323,1403456,12480829,24668128,-10855842,6658015
(주)강스템바이오텍,217730,2018/12,501972,230000,-11298071,1001039,881052,14220013,47944961,-13500909,6879882
(주)강스템바이오텍,217730,2019/12,34319,270948,-11097344,282069,831730,22738650,70845209,-25001590,12523954
(주)강원랜드,035250,2011/12,2245975,1884989,428912416,1263651213,427568,1302068954,2278202202,393401121,71679
(주)강원랜드,035250,2012/12,1200611,2232677,458412852,1292896121,647592,1334113267,2383160603,296503993,144553
(주)강원랜드,035250,2013/12,1493306,2218517,432139763,1356906162,272921,1327018456,2523962938,293129468,64208
(주)강원랜드,035250,2014/12,1204918,3263417,516728788,1492291312,247465,1284798892,2716175018,363815729,48445
(주)강원랜드,035250,2015/12,1621646,3607101,581804341,1630976696,226922,1253601276,2997442337,430459518,108201
(주)강원랜드,035250,2016/12,1309513,3084179,600686651,1694575212,227810,1254129261,3252738063,454998593,114514
(주)강원랜드,035250,2017/12,1299617,3361320,465968987,1602901764,197207,1253403658,3500789656,437096330,64234
(주)강원랜드,035250,2018/12,1143581,3561607,366067885,1436042435,216518,1299058388,3586452533,297320114,49171
(주)강원랜드,035250,2019/12,3631307,3857898,408994810,1517612252,1819209,1353732478,3718433001,335609508,60061
(주)강원에너지,114190,2011/11,3989692,13966076,15102830,50222892,16730,3912294,24502434,5754715,1388076
(주)강원에너지,114190,2012/12,3808870,17580576,-3145103,106471214,198929,4416402,36107930,8974549,1983774
(주)강원에너지,114190,2013/12,2086978,6911587,16975955,50660659,178578,4787448,45877155,3922208,1844262
(주)강원에너지,114190,2014/12,1736909,8949784,-14600421,51481321,41685,10004091,50445491,1123194,1907669
(주)강원에너지,114190,2015/12,1233999,8958699,18555072,48852892,1152,9712091,54880924,885783,1748860
(주)강원에너지,114190,2016/12,335220,5273337,-18630100,44448760,5428,9490734,53746356,-762058,2026155
(주)강원에너지,114190,2017/12,361382,15372002,-4605588,83113029,60340,9242859,47117020,-6291307,0
(주)강원에너지,114190,2018/12,543737,11107883,-10047711,85905365,1521486,8853092,49286354,1977524,0
(주)강원에너지,114190,2019/12,118784,7904034,7013798,42549622,1839180,9089689,22904034,-33460765,0
(주)갤럭시아에스엠,011420,2011/12,0,1078148,3957763,31931418,839633,263856,24539613,3000743,0
(주)갤럭시아에스엠,011420,2012/12,0,1557553,2596523,37398255,507321,244196,25153401,223810,0
(주)갤럭시아에스엠,011420,2013/12,0,1162739,-780292,30903637,288921,258052,22472626,-1420345,0
(주)갤럭시아에스엠,011420,2014/12,404356,1548854,-1937620,33027933,362166,170073,23402468,-931106,0
(주)갤럭시아에스엠,011420,2015/12,0,2140769,3007845,53784932,261894,428742,50665218,2575902,0
(주)갤럭시아에스엠,011420,2016/12,0,3486270,-1876676,45665676,173792,468225,44846832,-1562620,0
(주)갤럭시아에스엠,011420,2017/12,0,2970352,-7384193,36917656,99823,348574,40494336,-5899738,0
(주)갤럭시아에스엠,011420,2018/12,0,1695454,-2638766,22030258,65489,251603,26797332,-15678085,0
(주)갤럭시아에스엠,011420,2019/12,0,1350936,825072,28732679,51020,511985,21798750,-1375316,0
(주)경농,002100,2011/12,70007203,16127481,14271710,120728258,1697607,47135730,146016982,3154155,3718009
(주)경농,002100,2012/12,69708618,19491642,12031973,131021366,1573789,51459712,151500247,6590012,4059418
(주)경농,002100,2013/12,70268926,17851709,16373126,139237273,1731407,55088070,162696463,13751960,3915658
(주)경농,002100,2014/12,69968941,20530569,14226137,134806677,1504659,60743502,168998955,9271741,6497886
(주)경농,002100,2015/12,84302523,21943145,-9444978,137609256,1468710,60862714,173056378,6488880,7653105
(주)경농,002100,2016/12,89356248,25261354,8683420,143209666,1340636,60986166,176722752,5770891,11635162
(주)경농,002100,2017/12,91796107,25446317,14393946,143175105,1638358,61075339,182959158,11539079,8345382
(주)경농,002100,2018/12,91526504,20300908,4624400,146216658,1548432,67819776,187066687,9613575,6973495
(주)경농,002100,2019/12,101542875,23604107,4392117,151342037,2338529,64128521,190892614,7061857,6692978
(주)경동나비엔,009450,2011/12,41637076,42204733,12393396,318269213,391915,71463183,143268094,9445090,3955054
(주)경동나비엔,009450,2012/12,33893618,54234882,22554949,341339118,413298,86003940,152201349,9214927,4282678
(주)경동나비엔,009450,2013/12,37417214,51433487,20201422,371601179,452527,148703601,161494784,9251575,4823937
(주)경동나비엔,009450,2014/12,40963230,46764099,-24009203,382392117,1735376,133081097,167984480,9082312,6267982
(주)경동나비엔,009450,2015/12,39239496,54566199,36531813,448302084,2105752,134166342,185208256,19320742,5390244
