회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)SNT에너지,100840,2010/12,132795382,,,,,180,90.41,36.08,1.81,0.72,18050
(주)SNT에너지,100840,2011/12,126000455,,,,,184,0,0,0.99,0.54,17600
(주)SNT에너지,100840,2012/12,135114177,,,,,195,19.06,11.03,0.97,0.56,16400
(주)SNT에너지,100840,2013/12,149995023,,,,,209,9.04,6.39,0.76,0.54,16700
(주)SNT에너지,100840,2014/12,159222612,,,,,218,11.57,9.28,0.65,0.52,15350
(주)SNT에너지,100840,2015/12,182612325,,,,,232,8.58,3.96,1.03,0.48,29750
(주)SNT에너지,100840,2016/12,180875022,,,,,218,126.99,71.71,0.93,0.52,19200
(주)SNT에너지,100840,2017/12,185408107,,,,,195,32.32,20.87,0.64,0.41,16100
(주)SNT에너지,100840,2018/12,187259504,,,,,190,68.56,41.57,0.55,0.33,11050
(주)SNT에너지,100840,2019/12,201775635,20073132,333897235,88942325,213326726,191,10.43,5.41,0.64,0.33,19800
(주)SNT홀딩스,036530,2010/12,287407791,116382954,2038921397,761001718,1500160508,9,59.67,35.93,0.73,0.44,14950
(주)SNT홀딩스,036530,2011/12,281286745,123027047,2124828265,813820784,1663846065,9,42.06,25.88,0.64,0.39,12600
(주)SNT홀딩스,036530,2012/12,284420661,80967575,2074903906,756881039,1668749904,9,23.68,14.51,0.56,0.34,9730
(주)SNT홀딩스,036530,2013/12,286628138,72179660,2149176237,774810996,1576368464,8,37.69,17.76,0.77,0.36,16250
(주)SNT홀딩스,036530,2014/12,289259275,75546554,2039388864,683347926,1552374806,8,47.42,31.29,0.83,0.55,19600
(주)SNT홀딩스,036530,2015/12,313824046,174720573,2169311305,640062214,1612746929,8,17.69,10.55,1.18,0.7,29350
(주)SNT홀딩스,036530,2016/12,316683626,36876542,2210178425,679285814,1537700275,8,70.43,32.7,1.16,0.54,15850
(주)SNT홀딩스,036530,2017/12,315328592,30329601,2146174938,626881784,1508152132,7,69.81,54.44,0.69,0.54,15750
(주)SNT홀딩스,036530,2018/12,319207431,103102278,2113834573,610559077,1401307482,10,41.82,28.32,0.62,0.42,13000
(주)SNT홀딩스,036530,2019/12,322144300,146019478,2236679025,610745978,1512114565,10,29.1,20.64,0.66,0.47,15450
(주)STX,011810,2010/12,392610000,208194000,6092977000,4470088000,4045884000,643,196.52,84.34,1.93,0.83,28500
(주)STX,011810,2011/12,464921000,151483000,5234175000,3318233000,5967701000,392,26.13,8,1.94,0.59,11550
(주)STX,011810,2012/12,421859000,-520202000,5067029000,3560390000,6159850000,375,0,0,0.94,0.41,8400
(주)STX,011810,2013/12,-1231455000,-1496671000,1342520000,1852183000,2449401000,177,0,0,0,0,2580
(주)STX,011810,2014/12,-896967000,361948000,1255002000,1161340000,1634606000,124,4.25,0.25,28.64,1.7,375
(주)STX,011810,2015/12,-28460000,-58278000,1267224000,1194882000,1630827000,127,0,0,3.09,0.17,3435
(주)STX,011810,2016/12,-457165000,-457898000,707709000,1038305000,1720153000,120,0,0,0,0,1660
(주)STX,011810,2017/12,-120813000,334626000,627542000,584982000,1803878000,119,11.28,0.79,89.15,6.26,23850
(주)STX,011810,2018/12,6707000,9775000,554061000,490033000,1502985000,110,142.82,40.18,11.95,3.36,11750
(주)STX,011810,2019/12,-31193000,-32919000,560107000,503816000,1471164000,116,0,0,7.88,2.79,8010
(주)TCC스틸,002710,2010/12,186086834,17925462,414696288,189469675,460900040,324,6.65,4.23,0.46,0.29,5000
(주)TCC스틸,002710,2011/12,188746371,5592212,454329510,228887542,514424043,315,19.99,9.84,0.69,0.34,5140
(주)TCC스틸,002710,2012/12,189369296,353989,547013976,321015196,501337475,319,23.68,17.1,0.49,0.35,4615
(주)TCC스틸,002710,2013/12,187140480,-24102361,543708595,337970494,500832754,311,214.56,149.32,0.41,0.28,3480
(주)TCC스틸,002710,2014/12,184913031,-14942475,551000563,361962559,518995240,306,73.48,47.94,0.37,0.24,2650
(주)TCC스틸,002710,2015/12,41723834,-15211287,376394571,290382095,495795871,281,0,0,0.98,0.49,2180
