,회사명,회계년도,거래소코드,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
345,(주)국보,2018/12,1140,1682304.0
346,(주)국보,2019/12,1140,23966505.0
347,(주)국보디자인,2010/12,66620,7500000.0
348,(주)국보디자인,2011/12,66620,7500000.0
349,(주)국보디자인,2012/12,66620,7500000.0
350,(주)국보디자인,2013/12,66620,7500000.0
351,(주)국보디자인,2014/12,66620,7500000.0
352,(주)국보디자인,2015/12,66620,7500000.0
353,(주)국보디자인,2016/12,66620,7500000.0
354,(주)국보디자인,2017/12,66620,7500000.0
355,(주)국보디자인,2018/12,66620,7500000.0
356,(주)국보디자인,2019/12,66620,7500000.0
357,(주)국순당,2010/12,43650,17858304.0
358,(주)국순당,2011/12,43650,17858304.0
359,(주)국순당,2012/12,43650,17858304.0
360,(주)국순당,2013/12,43650,17858304.0
361,(주)국순당,2014/12,43650,17858304.0
362,(주)국순당,2015/12,43650,17858304.0
363,(주)국순당,2016/12,43650,17858304.0
364,(주)국순당,2017/12,43650,17858304.0
365,(주)국순당,2018/12,43650,17858304.0
366,(주)국순당,2019/12,43650,17858304.0
367,(주)국영지앤엠,2010/12,6050,20412792.0
368,(주)국영지앤엠,2011/12,6050,20412792.0
369,(주)국영지앤엠,2012/12,6050,29412792.0
370,(주)국영지앤엠,2013/12,6050,29412792.0
371,(주)국영지앤엠,2014/12,6050,29961037.0
372,(주)국영지앤엠,2015/12,6050,32921561.0
373,(주)국영지앤엠,2016/12,6050,34237349.0
374,(주)국영지앤엠,2017/12,6050,34895243.0
375,(주)국영지앤엠,2018/12,6050,34895243.0
376,(주)국영지앤엠,2019/12,6050,34895243.0
377,(주)국전약품,2018/12,307750,5010000.0
378,(주)국전약품,2019/12,307750,5010000.0
379,(주)그래디언트,2010/12,35080,60757093.0
380,(주)그래디언트,2011/12,35080,60842093.0
381,(주)그래디언트,2012/12,35080,60842093.0
382,(주)그래디언트,2013/12,35080,60842093.0
383,(주)그래디언트,2014/12,35080,60000000.0
384,(주)그래디언트,2015/12,35080,59500000.0
385,(주)그래디언트,2016/12,35080,59000000.0
386,(주)그래디언트,2017/12,35080,58500000.0
