회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)가온칩스,399720,2018/12,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,-16105881,-5754141,24982626,3745591,1484593,62,0,0,8.07,4.81,10900
(주)강스템바이오텍,217730,2016/12,-24406256,-10904082,47441769,24464858,842805,79,0,0,14.31,6.04,10800
(주)강스템바이오텍,217730,2017/12,-35262098,-9467198,44508729,19840601,5394323,75,0,0,9.29,5.64,12500
(주)강스템바이오텍,217730,2018/12,-51691066,-13173302,66184838,18239878,1001039,89,0,0,8.33,3.38,21800
(주)강스템바이오텍,217730,2019/12,-76692655,-25001590,98625925,27780716,282069,102,0,0,7.28,2.21,8140
(주)강원랜드,035250,2010/12,2018963086,569710361,2615956414,508333201,1313380414,3079,15.46,7.44,3.52,1.69,27950
(주)강원랜드,035250,2011/12,2210112744,511896360,2730283806,452081605,1263651213,3145,17.32,12.62,3.25,2.37,27200
(주)강원랜드,035250,2012/12,2320908747,397354983,2915385756,532225153,1292896121,3184,23.02,16.09,3.06,2.14,29250
(주)강원랜드,035250,2013/12,2462643422,389346254,3105430200,581467261,1356906162,3657,27,18.79,3.33,2.32,30950
(주)강원랜드,035250,2014/12,2653050588,500402119,3380461682,664286664,1492291312,3591,21.64,16.41,3.09,2.35,30400
(주)강원랜드,035250,2015/12,2935190481,582713798,3688060027,690617690,1630976696,3620,22.81,14.81,3.51,2.28,38400
(주)강원랜드,035250,2016/12,3190486206,597325475,3975979890,723241827,1694575212,3629,20.97,16.62,3.13,2.48,35750
(주)강원랜드,035250,2017/12,3438537799,565750048,4182527382,681737727,1602901764,3693,19.36,15.86,2.56,2.1,34800
(주)강원랜드,035250,2018/12,3524200677,410771115,4229630541,643178007,1436042435,5194,24.65,18.2,2.15,1.59,32000
(주)강원랜드,035250,2019/12,3656181144,489880540,4436461953,718028952,1517612252,5147,22.02,17.63,2.09,1.67,29600
(주)강원에너지,114190,2010/11,10780025,2020042,28677832,9408938,30619298,82,29.33,11.67,2.61,1.04,4345
(주)강원에너지,114190,2011/11,16553532,7245634,53719067,29216633,50222892,94,5,2.91,1.23,0.72,4530
(주)강원에너지,114190,2012/12,25687359,11326035,89258208,53150277,106471214,101,11.63,4.49,3.02,1.17,4405
(주)강원에너지,114190,2013/12,28976226,5216892,72441333,26564178,50660659,112,14.4,6.93,1.27,0.61,2205
(주)강원에너지,114190,2014/12,29719415,1140650,67037639,16592147,51481321,147,60.48,25.95,1.39,0.6,2105
(주)강원에너지,114190,2015/12,30605199,982206,80939019,26058095,48852892,133,89.54,35.13,1.49,0.58,2870
(주)강원에너지,114190,2016/12,29843141,969835,70850137,17103781,44448760,126,0,0,1.15,0.68,2740
(주)강원에너지,114190,2017/12,23551834,-7224165,87781416,40664397,83113029,137,0,0,1.2,0.79,2490
(주)강원에너지,114190,2018/12,26310725,2790752,89619750,40333396,85905365,119,53.76,17.66,2.19,0.72,2740
(주)강원에너지,114190,2019/12,-7611776,-32601689,55106032,32201998,42549622,107,0,0,3.77,1.41,3810
(주)갤럭시아에스엠,011420,2010/12,-4919791,1904426,35800250,13202009,42704968,33,81.39,25.61,8.6,2.71,1990
(주)갤럭시아에스엠,011420,2011/12,-1919048,4366039,40711969,16172356,31931418,37,21.94,9.15,5.08,2.12,1715
(주)갤럭시아에스엠,011420,2012/12,-1695238,529889,40169876,15016475,37398255,40,267.41,127.13,3.12,1.48,1600
(주)갤럭시아에스엠,011420,2013/12,-3115583,-1510992,34158874,11686248,30903637,50,0,0,2.44,1.58,1880
(주)갤럭시아에스엠,011420,2014/12,-4046690,-948371,40528250,17125782,33027933,63,0,0,3.78,1.6,1680
(주)갤럭시아에스엠,011420,2015/12,-1470788,3256040,67196553,16531335,53784932,93,41.12,13.89,2.23,0.75,3455
(주)갤럭시아에스엠,011420,2016/12,-4050954,-1728178,55825556,10978725,45665676,107,0,0,2.34,1.03,2125
(주)갤럭시아에스엠,011420,2017/12,-9950692,-6534286,48958128,8463792,36917656,126,0,0,2.63,1.43,2935
(주)갤럭시아에스엠,011420,2018/12,-25628777,-15132060,33337692,6540360,22030258,111,0,0,3.72,1.31,1660
(주)갤럭시아에스엠,011420,2019/12,-27004093,-1361701,28241598,6442848,28732679,121,0,0,4.85,1.92,1485
(주)경농,002100,2010/12,94263297,12964790,198795934,50443824,143042882,324,11.62,7.77,0.78,0.52,3785
(주)경농,002100,2011/12,93959821,4858758,176741869,30724888,120728258,308,29.5,18.43,0.66,0.41,3005
(주)경농,002100,2012/12,97785397,9520341,203467698,51967451,131021366,306,11.95,9.27,0.53,0.41,3195
(주)경농,002100,2013/12,108944132,17982218,214988593,52292130,139237273,311,6.62,4.92,0.58,0.43,3545
(주)경농,002100,2014/12,114326037,12292080,230870852,61871897,134806677,340,15.35,8.18,0.88,0.47,4670
(주)경농,002100,2015/12,116916609,8536761,265109291,92052914,137609256,346,20.83,15.54,0.82,0.61,5090
(주)경농,002100,2016/12,120186449,7205070,266622289,89899537,143209666,335,30.33,17.85,1.04,0.61,5800
(주)경농,002100,2017/12,126991395,14144804,268967010,86007852,143175105,338,12.76,10.23,0.85,0.68,6010
(주)경농,002100,2018/12,141315028,15262949,285031873,97965187,146216658,350,36.55,12.7,1.97,0.68,10800
(주)경농,002100,2019/12,143910722,10238677,297197088,106304474,151342037,362,74.8,30.72,2.89,1.19,11350
(주)경동나비엔,009450,2010/12,98089995,8521739,201855827,65099104,278277379,654,15.86,10.78,0.72,0.49,29150
(주)경동나비엔,009450,2011/12,105388078,12721429,224373470,81105376,318269213,699,45.86,5.89,3.2,0.41,6000
(주)경동나비엔,009450,2012/12,112404565,11722859,254627468,102426119,341339118,784,18.25,7.47,1.17,0.48,11700
(주)경동나비엔,009450,2013/12,120692173,12790740,301475800,139981016,371601179,722,28.92,14.46,1.75,0.87,17450
(주)경동나비엔,009450,2014/12,126535986,11328221,331089242,163104762,382392117,763,45.87,23.71,2.62,1.35,29000
(주)경동나비엔,009450,2015/12,144750808,24598756,324848990,139640734,448302084,797,27.79,14.37,3.04,1.57,31250
(주)경동나비엔,009450,2016/12,170349034,37230569,347643876,137450753,506082201,911,28.92,11.77,4.13,1.68,43050
(주)경동나비엔,009450,2017/12,184187689,21171068,391400492,169371998,569819524,975,43.09,23.81,3.32,1.83,51300
(주)경동나비엔,009450,2018/12,204400342,28806051,440513661,200157710,618058456,1073,40.92,19.43,4.09,1.94,41550
(주)경동나비엔,009450,2019/12,219052793,36572742,461607017,207047496,655419303,1167,38.7,20.22,3.27,1.71,46600
(주)경동도시가스,267290,2017/12,18455504,23027800,707917077,415288491,870828897,270,,,,,36250
(주)경동도시가스,267290,2018/12,44587455,44013345,775880913,457120376,1605687067,277,7.32,4.46,0.82,0.5,33200
(주)경동도시가스,267290,2019/12,63556420,31661086,747453908,409752242,1421866212,278,9.59,4.91,0.72,0.37,21250
(주)경동인베스트,012320,2010/12,303313091,53608191,756282260,391036895,1289139847,271,3.71,3.06,0.43,0.36,42700
(주)경동인베스트,012320,2011/12,350589027,66902128,941176098,528263966,1806174764,277,4.04,2.93,0.5,0.36,54000
(주)경동인베스트,012320,2012/12,401639393,76905083,1168400020,699478024,2403814656,284,4.96,3.2,0.62,0.4,75700
(주)경동인베스트,012320,2013/12,443421031,60602724,1161427092,644593509,2664100017,289,7.46,5.43,0.68,0.5,98100
(주)경동인베스트,012320,2014/12,483892235,57568958,1101071366,540269309,2399450987,282,10.34,7.38,0.85,0.61,111000
