회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),계속영업이익(손실)(IFRS)(천원),유동자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원)
(주)경동인베스트,012320,2012/12,2403814656,1168400020,56917580,56917580,753036515,279769365
(주)경동인베스트,012320,2013/12,2664100017,1161427092,46253877,46253877,724069045,293643578
(주)경동인베스트,012320,2014/12,2399450987,1101071366,44839494,44839494,631297926,299563689
(주)경동인베스트,012320,2015/12,1352478311,926392697,-6095609,-6095609,459634757,317414775
(주)경동인베스트,012320,2016/12,1021002691,903818865,16356641,16356641,394847821,320740081
(주)경동인베스트,012320,2017/12,612436,318031347,7248447,-2505854,110951332,9664453
(주)경동인베스트,012320,2018/12,7460898,318776653,1574966,1574966,44742051,12131746
(주)경동인베스트,012320,2019/12,8641051,316572482,-917643,-917643,44653640,2798610
(주)경방,000050,2010/12,277727642,1308628573,23831171,23831171,99553615,298730389
(주)경방,000050,2011/12,275746943,1331930968,-1822388,-1822388,123787600,307701501
(주)경방,000050,2012/12,265409209,1301719900,-7074187,-7074187,101710997,301773723
(주)경방,000050,2013/12,264782077,1261257414,15103835,15103835,79482802,280675994
(주)경방,000050,2014/12,256979444,1275008413,14235818,14235818,83665762,269480797
(주)경방,000050,2015/12,307744480,1259512344,21604723,21604723,83760073,258275719
(주)경방,000050,2016/12,313876822,1237024388,30977743,30977743,80538917,248710695
(주)경방,000050,2017/12,288103985,1199063663,25679379,25679379,71472590,229435458
(주)경방,000050,2018/12,279085217,1226545382,29198252,29198252,88159568,214332809
(주)경방,000050,2019/12,253552382,1296265431,22223943,22223943,223798878,64860661
(주)경보제약,214390,2010/12,,,,,,
(주)경보제약,214390,2011/12,,,,,,
(주)경보제약,214390,2012/12,,,,,,
(주)경보제약,214390,2013/12,162218140,143382795,18024925,18024925,84622358,43796688
(주)경보제약,214390,2014/12,169781246,168034561,8635954,8635954,97476890,55285405
(주)경보제약,214390,2015/12,178032632,195488457,26109623,26109623,105108130,74892236
(주)경보제약,214390,2016/12,186726170,203735980,12705930,12705930,102226920,83949070
(주)경보제약,214390,2017/12,191661374,204869399,17963310,17963310,110638039,78497115
(주)경보제약,214390,2018/12,201343596,221622993,13116049,13116049,128936315,76497132
(주)경보제약,214390,2019/12,191706189,237816742,5285239,5285239,124176490,88116421
(주)경인양행,012610,2010/12,149007816,250809034,3367162,3367162,104532345,68435611
(주)경인양행,012610,2011/12,128707611,245825940,2788642,2788642,99039937,69431560
(주)경인양행,012610,2012/12,141304459,241045608,4475441,4475441,94723927,67259638
(주)경인양행,012610,2013/12,183106757,274570963,12327177,12327177,123143650,72282759
(주)경인양행,012610,2014/12,190395047,267331084,9090269,9090269,107227115,77811393
(주)경인양행,012610,2015/12,175006703,273778266,107330,107330,113173448,76154669
(주)경인양행,012610,2016/12,179267850,290035389,3724987,3724987,126364739,77953872
(주)경인양행,012610,2017/12,193975818,296909084,531273,531273,125062666,86525558
(주)경인양행,012610,2018/12,222659442,344908257,7419717,7419717,165167110,90678289
(주)경인양행,012610,2019/12,245244968,381063538,4797711,4797711,172620331,119519529
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,87660276,115881620,1003761,1003761,38542950,47901220
(주)고려시멘트,198440,2018/12,85775723,127536833,4645869,4645869,49955334,48776544
(주)고려시멘트,198440,2019/12,70921781,127035573,3396444,2628911,46591282,51139394
(주)고바이오랩,348150,2019/12,576519,34573964,-44214672,-44214672,33441793,283298
(주)고영테크놀러지,098460,2010/12,71207683,69471782,15223139,15223139,48378877,12606731
(주)고영테크놀러지,098460,2011/12,80200892,87017886,16580579,16580579,61560094,14869610
(주)고영테크놀러지,098460,2012/12,100791139,103019642,14836215,14836215,75787332,15336664
(주)고영테크놀러지,098460,2013/12,103933681,121329325,14816762,14816762,93556579,14690294
(주)고영테크놀러지,098460,2014/12,135531589,141873467,22775832,22775832,107119140,19812580
(주)고영테크놀러지,098460,2015/12,138554625,160170850,23271756,23271756,124933566,19340953
(주)고영테크놀러지,098460,2016/12,153254768,194332855,28063238,28063238,156029191,23462507
(주)고영테크놀러지,098460,2017/12,188934907,205696350,28907302,28907302,159374622,24158929
(주)고영테크놀러지,098460,2018/12,219818022,279985447,42430216,42430216,231667150,32377941
(주)고영테크놀러지,098460,2019/12,209480760,308020011,34702997,34702997,229213476,35418136
(주)골드앤에스,035290,2010/12,50487261,44315266,-8867129,-8867129,16936260,1316326
(주)골드앤에스,035290,2011/12,47522791,46347129,1101095,1101095,23165184,995140
(주)골드앤에스,035290,2012/12,43889087,51062616,-6036290,-6036290,27310447,851327
(주)골드앤에스,035290,2013/12,36607591,34508798,-16378087,-16378087,17985887,810357
(주)골드앤에스,035290,2014/12,29428881,28884288,-8058617,-8058617,15782408,502559
(주)골드앤에스,035290,2015/12,22197935,23597566,-9396462,-9396462,15122533,299779
(주)골드앤에스,035290,2016/12,15893494,18296141,388207,388207,8552277,193816
(주)골드앤에스,035290,2017/12,12802035,16994788,-8062623,-8062623,10974294,336869
(주)골드앤에스,035290,2018/12,8680452,42472631,-4045846,-4045846,21031370,11191043
(주)골드앤에스,035290,2019/12,7642733,16096170,-24883215,-24883215,3910189,3722968
(주)골드퍼시픽,038530,2010/12,10718074,23114875,347774,347774,17305882,1770852
(주)골드퍼시픽,038530,2011/12,11236925,27473520,990336,990336,15105931,10069863
(주)골드퍼시픽,038530,2012/12,10491048,29861540,254546,254546,19029706,8743387
(주)골드퍼시픽,038530,2013/12,6488691,30517744,-8455942,-8455942,15961156,7249195
(주)골드퍼시픽,038530,2014/12,4855121,31936409,-7306525,-7306525,15761409,5643164
(주)골드퍼시픽,038530,2015/12,6121489,27495738,-12525668,-12525668,14304863,2580222
(주)골드퍼시픽,038530,2016/12,9588100,11122066,-23433498,-23433498,5438550,1333057
(주)골드퍼시픽,038530,2017/12,5031439,26567967,-965087,-965087,17215160,1297094
(주)골드퍼시픽,038530,2018/12,5580994,37288362,-4380343,-4380343,22006122,83408
(주)골드퍼시픽,038530,2019/12,11323125,72945743,-31603970,-31603970,28455147,908909
(주)골프존,215000,2015/12,184085342,171629353,33262807,33262807,71290784,74039599
(주)골프존,215000,2016/12,196864993,177635830,35913366,35913366,75788492,69486714
(주)골프존,215000,2017/12,171859065,239011847,75544308,75544308,142686039,66800539
(주)골프존,215000,2018/12,191571105,254578679,21663391,21663391,134088763,81753994
(주)골프존,215000,2019/12,239051647,304860836,19704546,19704546,70491340,110267389
(주)골프존뉴딘홀딩스,121440,2010/12,184308070,181726697,65773805,65773805,136048580,11380682
(주)골프존뉴딘홀딩스,121440,2011/12,209788389,373246120,47591974,47591974,249046740,49239742
(주)골프존뉴딘홀딩스,121440,2012/12,276341690,512614848,72099265,72099265,267719852,136357274
