회사명,거래소코드,회계년도,재고자산(*)(IFRS연결),매입채무(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),이자비용(IFRS연결),유형자산(*)(IFRS연결),자본(*)(IFRS연결),당기순이익(손실)(IFRS연결),연구개발비(IFRS연결)
(주)강원에너지,114190,2011/11,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,
(주)강원에너지,114190,2015/12,1233999,8958699,9499050,46188664,2385,12847843,56583901,102482,1748860
(주)강원에너지,114190,2016/12,335220,5273337,-15783876,42287473,5428,14792058,55088690,-1125371,2026155
(주)강원에너지,114190,2017/12,361382,15372002,-3706818,82034829,210372,15392067,48303010,-6451819,0
(주)강원에너지,114190,2018/12,543737,11107883,-10173085,85905365,1694660,14771745,50203707,1708887,0
(주)강원에너지,114190,2019/12,118784,7904034,6960049,42549622,2048603,10387938,21124556,-35647438,0
(주)갤럭시아에스엠,011420,2011/12,20209,1441017,5951394,47331427,818943,746008,25274017,2909464,0
(주)갤럭시아에스엠,011420,2012/12,37487,1958766,2801469,55049732,546861,3386965,25907252,389023,0
(주)갤럭시아에스엠,011420,2013/12,126351,1576120,4527179,46437304,393067,3092608,21493102,-1736750,0
(주)갤럭시아에스엠,011420,2014/12,508736,2389683,-70410,43885894,478717,3055021,23205508,-255270,0
(주)갤럭시아에스엠,011420,2015/12,11280,2901363,2451666,62472754,368956,2905233,49739042,1863773,0
(주)갤럭시아에스엠,011420,2016/12,0,4302476,-1195544,52626331,197966,2588337,44846832,-1562620,0
(주)갤럭시아에스엠,011420,2017/12,0,2973757,-7389242,37281280,99823,364072,40494336,-5899738,0
(주)갤럭시아에스엠,011420,2018/12,0,1700468,-2809869,22060413,65489,251603,26472162,-16003255,0
(주)갤럭시아에스엠,011420,2019/12,0,1350936,903569,28732679,51020,511985,21798750,-1375316,0
(주)경농,002100,2011/12,70194121,16144137,14162963,121253605,1697607,49541176,142986220,509664,3721380
(주)경농,002100,2012/12,102583675,19656950,8796940,136970449,2272647,93105654,151738994,10310339,5848876
(주)경농,002100,2013/12,98860077,17503694,18563319,196358952,3907921,101211463,163157512,13950249,5776893
(주)경농,002100,2014/12,98308244,22336952,14706590,188483147,3236805,118629306,168915900,7099305,8514785
(주)경농,002100,2015/12,115444315,23122407,-9854199,196418710,3055839,122071383,174667648,6980392,9788474
(주)경농,002100,2016/12,115876266,28340442,15996174,203984939,2619123,133213483,183969132,6365805,11642420
(주)경농,002100,2017/12,119704437,29526311,15815332,206534382,3017295,140283689,192152986,10079442,8450006
(주)경농,002100,2018/12,120967753,24114639,10607249,212654617,2863401,142669413,201453891,4878426,7409758
(주)경농,002100,2019/12,133714688,27979140,-1020171,227510941,3949234,139475078,201885272,4014664,6867950
(주)경동나비엔,009450,2011/12,60788326,41324370,15493744,341246917,1034780,103309756,168114574,9467023,4008692
(주)경동나비엔,009450,2012/12,59527947,56130651,27648702,379014259,1190005,120050563,175875394,9169965,4633336
(주)경동나비엔,009450,2013/12,71724409,50650491,20912632,414177562,1373840,184422743,187280988,11129597,4921221
(주)경동나비엔,009450,2014/12,83525372,54242303,-13266158,428985365,2733423,190970831,190021880,9380054,6451007
(주)경동나비엔,009450,2015/12,87185691,65252087,43719574,512031120,3468233,195089500,206076609,16752000,5529749
(주)경동나비엔,009450,2016/12,89997026,83657318,61333200,583252904,1829460,203718091,238762190,37469924,7692663
(주)경동나비엔,009450,2017/12,110374505,92109771,20111583,684660958,1574837,221945791,256506497,27019124,9040550
(주)경동나비엔,009450,2018/12,150049770,77239026,-14286091,726741615,3604816,248979361,280103616,24748538,12570808
(주)경동나비엔,009450,2019/12,138114361,92666117,78554868,774290704,4054605,278770581,301042624,27852090,10204000
(주)경동도시가스,267290,2017/12,1111165,295055522,19371687,871548284,324033,316816604,294331882,17798556,0
(주)경동도시가스,267290,2018/12,1299646,328641465,120705226,1606531867,431646,320713747,320490074,34164798,0
(주)경동도시가스,267290,2019/12,1333402,273615670,33973376,1422707835,958080,325975219,339612043,24638348,0
(주)경동인베스트,012320,2011/12,6238419,422528843,88589199,1847666903,3250089,302120078,407862543,30327559,456618
(주)경동인베스트,012320,2012/12,20579836,590272557,150571070,2502642394,2817669,302039515,446509347,42879202,0
(주)경동인베스트,012320,2013/12,13656418,534969558,69233629,2788264380,1811081,322577481,498740561,49841905,0
(주)경동인베스트,012320,2014/12,18386682,420962238,20818461,2603059058,2366553,436240540,607451423,75930406,0
(주)경동인베스트,012320,2015/12,8347076,252287992,-50279018,1604168482,3056201,478535233,576479441,-21251390,0
(주)경동인베스트,012320,2016/12,10949433,229971708,26876328,1181902637,3621680,490371394,587924566,19132415,0
(주)경동인베스트,012320,2017/12,14232992,2330818,60158090,195069859,4021652,177264156,400403090,51930860,0
(주)경동인베스트,012320,2018/12,30703229,6953228,12513851,228644016,3675055,176391871,397867310,29827973,0
(주)경동인베스트,012320,2019/12,30814751,6446931,32390710,271765025,4153280,170491064,414533638,8856009,0
(주)경방,000050,2011/12,72996830,19598113,-14647398,348136369,19264853,308454057,629704391,-1131177,0
(주)경방,000050,2012/12,52907652,20758100,17789061,333620804,20032835,324064120,620704205,-7910168,1826
(주)경방,000050,2013/12,40216862,20361220,51153970,347189559,13944625,306515477,636438555,14574395,131
(주)경방,000050,2014/12,37758471,18551019,23819336,329036023,12414802,307855729,647668814,11488471,4420
(주)경방,000050,2015/12,52862910,17651694,39920580,357628146,9977348,325770660,662952918,16692163,16474
(주)경방,000050,2016/12,45810493,19400284,67981079,377445013,7844318,315500908,679843399,29474988,7285
(주)경방,000050,2017/12,31921285,18728926,57866501,360788750,6658090,310601150,699134073,25315361,16967
(주)경방,000050,2018/12,59792825,18980495,12093896,351438926,7986856,285829683,708769347,20189241,29577
(주)경방,000050,2019/12,31308041,18966096,66875285,343892085,8924092,145683128,741553199,43621631,34018
(주)경보제약,214390,2011/12,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,
(주)경보제약,214390,2013/12,,,,,,,,,
(주)경보제약,214390,2014/12,,,,,,,,,
(주)경보제약,214390,2015/12,,,,,,,,,
(주)경보제약,214390,2016/12,,,,,,,,,
(주)경보제약,214390,2017/12,,,,,,,,,
(주)경보제약,214390,2018/12,,,,,,,,,
(주)경보제약,214390,2019/12,,,,,,,,,
(주)경인양행,012610,2011/12,95390048,22641016,9839673,233095049,3594486,136165573,176292506,2886360,0
(주)경인양행,012610,2012/12,70357744,14019539,20801833,218604655,2895310,124092900,174988685,2093491,0
(주)경인양행,012610,2013/12,90667397,18002898,1046809,260808400,1944811,127667556,189744314,10215710,0
(주)경인양행,012610,2014/12,89741323,11497378,18368986,277181095,1968457,135555605,198238667,10148247,0
(주)경인양행,012610,2015/12,95494779,14596934,5444861,263163677,1604240,136115404,201125304,3670895,0
(주)경인양행,012610,2016/12,99419770,25656675,19013689,274873817,1641252,137784128,208293196,6837522,0
(주)경인양행,012610,2017/12,97118533,15841108,5323456,299987729,2362792,149692038,210934933,4779249,0
(주)경인양행,012610,2018/12,123873222,19996296,1873412,331102011,3469155,155376235,223759383,13801882,0
(주)경인양행,012610,2019/12,141253404,16457652,6768170,358802386,5051779,194110502,237433141,16372880,0
(주)고려시멘트,198440,2014/12,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,
(주)고바이오랩,348150,2019/12,122956,68593,-5708992,576519,776589,283298,-53623865,-44066665,4318898
(주)고영테크놀러지,098460,2011/12,14264259,8131221,13903738,86130810,826,15041656,69622726,15634438,5848913
(주)고영테크놀러지,098460,2012/12,17763177,7066055,11397833,107841666,13176,15547786,83401095,15221925,6445541
(주)고영테크놀러지,098460,2013/12,20893135,10669475,13282913,111902729,37781,14825443,98319609,13933294,7279228
(주)고영테크놀러지,098460,2014/12,18090390,8710906,25603240,142840131,16828,19958721,115835240,22111066,9955799
(주)고영테크놀러지,098460,2015/12,19344915,10193418,16569102,145904431,10459,19713468,131475647,23530903,13852455
(주)고영테크놀러지,098460,2016/12,19563475,13904087,29234878,171793841,16576,23842197,157267580,29723733,18591618
(주)고영테크놀러지,098460,2017/12,22300525,16233234,19941301,203368626,7124,25337806,161317171,26734105,23075326
(주)고영테크놀러지,098460,2018/12,31398344,15677316,21765311,238208865,7874,33117594,225866639,42309672,30047991
(주)고영테크놀러지,098460,2019/12,36331529,13515704,29168422,222057035,295067,37283940,243668528,29559680,30246314
(주)골드앤에스,035290,2011/12,2865869,1050496,8628850,47522791,1144194,1027834,22436829,1002287,0
(주)골드앤에스,035290,2012/12,2643834,608923,2478990,43889087,1222442,988045,25517817,-6467495,0
(주)골드앤에스,035290,2013/12,3133301,1180068,-204052,39548810,1696741,23605894,13127355,-16837473,0
(주)골드앤에스,035290,2014/12,2940734,872982,-991208,31287203,2188673,22767398,12082621,-9319175,0
(주)골드앤에스,035290,2015/12,2329866,706904,1708284,22197935,574821,330937,15160254,-9502547,0
(주)골드앤에스,035290,2016/12,1958738,247758,1679723,15893494,166195,204183,14268527,390367,0
(주)골드앤에스,035290,2017/12,1057469,218963,361216,12802035,141278,338535,13346076,-7975875,0
(주)골드앤에스,035290,2018/12,1290682,89720,-3136830,8680452,1022918,11191043,13779569,-4380399,570892
(주)골드앤에스,035290,2019/12,498013,111463,-6506543,7642733,4887799,3722968,-5091573,-24883278,300698
(주)골드퍼시픽,038530,2011/12,,,,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,,,,
(주)골드퍼시픽,038530,2013/12,6434511,0,-2334044,7167832,541030,9882790,16190999,-9381353,87752
(주)골드퍼시픽,038530,2014/12,7662615,0,-4905537,16486257,1343820,9909463,16567915,-7390326,180041
(주)골드퍼시픽,038530,2015/12,1707754,0,-5635841,18635305,859307,2580222,21193149,-10215946,76177
(주)골드퍼시픽,038530,2016/12,,,,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,,,,
(주)골드퍼시픽,038530,2018/12,1607114,135512,-3626992,5708281,1335789,94653,20086698,-4471963,0
(주)골드퍼시픽,038530,2019/12,,,,,,,,,
(주)골프존,215000,2015/12,3108991,4808035,44345997,201560389,711609,77871991,108853909,36533155,0
(주)골프존,215000,2016/12,12659642,4557221,35237011,216964342,759926,73081406,120648626,36536248,0
(주)골프존,215000,2017/12,13130013,4469536,80376887,200105321,713146,71606171,189381881,79392004,0
(주)골프존,215000,2018/12,10498417,4279575,32883976,198705194,748762,83642928,194919561,20419449,0
(주)골프존,215000,2019/12,10880176,3056162,39501603,247018099,1003551,115927449,200042879,16213888,0
(주)골프존뉴딘홀딩스,121440,2011/12,5934952,5148042,46128334,215793737,49427,52306467,348968757,46487063,0
(주)골프존뉴딘홀딩스,121440,2012/12,17945664,6832838,61269978,289629366,2220350,198231941,411636973,73354594,0
(주)골프존뉴딘홀딩스,121440,2013/12,32288277,10012375,63430820,365126358,3098214,222285916,424543916,2803470,0
(주)골프존뉴딘홀딩스,121440,2014/12,30575929,8638556,28790402,429589619,4644206,454297223,486385956,79234486,596440
(주)골프존뉴딘홀딩스,121440,2015/12,23999862,4560011,-15266617,164536448,6064429,401308099,551360423,871101274,149963
(주)골프존뉴딘홀딩스,121440,2016/12,33842758,7232656,15895535,243275475,7082912,398579767,528087415,2876449,0
(주)골프존뉴딘홀딩스,121440,2017/12,40345794,7509517,-1173648,213756902,6550057,394254656,500912642,-21585123,2900189
(주)골프존뉴딘홀딩스,121440,2018/12,51388491,13914428,-20158087,223036801,7546948,380012689,485969871,-7527390,3620102
(주)골프존뉴딘홀딩스,121440,2019/12,48390470,11564312,5656323,228935651,10033230,360513819,447197508,-34848135,2672997
(주)공구우먼,366030,2017/12,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,
(주)광림,014200,2011/12,,,,,,,,,
(주)광림,014200,2012/12,,,,,,,,,
(주)광림,014200,2013/12,,,,,,,,,
(주)광림,014200,2014/12,76887713,15195572,-6344996,231446314,3136508,56739580,128970849,-237860,185071
(주)광림,014200,2015/12,,,,,,,,,
(주)광림,014200,2016/12,26522759,33842846,3288372,87302967,1107586,70932936,113505965,-1896521,0
(주)광림,014200,2017/12,21761125,18870922,-15250032,135191558,3872634,58197036,107690687,-23602051,214932
(주)광림,014200,2018/12,25240021,21849846,-13294713,136595300,4555761,59154003,90075229,-28445678,282835
(주)광림,014200,2019/12,27735699,16949822,-12235587,145864184,4779694,60314708,90772137,-14006972,278259
(주)광명전기,017040,2011/12,12871667,15273072,1765403,92382628,1301326,20386015,62936103,-1825104,0
(주)광명전기,017040,2012/12,16291860,14541759,3436380,117216514,1153486,18456738,62992204,407617,0
(주)광명전기,017040,2013/12,14379994,6384899,3129414,117852824,910253,17081607,69847678,6473480,0
(주)광명전기,017040,2014/12,17009058,16863004,11464334,134778387,641850,17811443,78696030,9107331,0
(주)광명전기,017040,2015/12,12979421,13411331,18501076,116316957,446487,17802534,87829336,8891002,0
(주)광명전기,017040,2016/12,9214479,11672758,4502682,96942911,343862,19037693,98063360,11593891,0
(주)광명전기,017040,2017/12,9992851,13326881,6647411,101561159,380323,34515922,96648221,-2043260,0
(주)광명전기,017040,2018/12,11273625,11215318,-3815893,114110654,901989,39291851,98748349,2718092,0
