거래소코드,회계년도,수정종가,회사명,시가총액,거래량회전율,로그시가총액,수정거래량,거래량증가율,시가총액증가율
50,2012,91350.0,경방보통주,190008000000.0,0.10744759615384615,11.278771886651318,2.4465353037766833,-0.5612076209623585,-0.1494413407821229
50,2013,99500.0,경방보통주,247983651000.0,0.20707595961638617,11.394423049719231,5.186884422110553,1.3092428777892624,0.30512215801439946
50,2014,146750.0,경방보통주,402319087250.0,0.28826927475089614,11.60457063732072,5.385335604770017,0.5313033453143317,0.62236133562692
50,2015,190000.0,경방보통주,520890130000.0,0.25754880400594266,11.716746128353897,3.7161947368421053,-0.10656866144163346,0.2947189097103917
50,2016,166500.0,경방보통주,4564642455000.0,0.19998205379702624,12.659406765243407,32.9283003003003,6.764821683754038,7.7631578947368425
50,2017,143500.0,경방보통주,3934091245000.0,0.30865776627405095,12.59484442847108,58.96819512195122,0.5434273246704735,-0.13813813813813813
50,2018,123250.0,경방보통주,3378932027500.0,0.29921168020595823,12.528779455350335,66.55552941176471,-0.03060375308912755,-0.14111498257839716
50,2019,101150.0,경방보통주,2773054560500.0,0.22354403221270483,12.442958414507892,60.58843302026693,-0.2528900206742217,-0.17931034482758623
60,2010,79550.0,메리츠화재해상보험보통주,,,,2700.1374607165303,,
60,2011,103150.0,메리츠화재해상보험보통주,,,,1476.1282113427048,-0.291128926625171,
60,2012,128000.0,메리츠화재해상보험보통주,,,,592.5998828125,-0.5018292571798233,
60,2013,141750.0,메리츠화재해상보험보통주,,,,577.5236543209877,0.07924815153458109,
60,2014,139750.0,메리츠화재해상보험보통주,,,,385.6796779964222,-0.3416062068227371,
60,2015,143750.0,메리츠화재해상보험보통주,,,,489.3997495652174,0.30524796175643076,
60,2016,156000.0,메리츠화재해상보험보통주,,,,237.10345512820513,-0.4742359527726131,
60,2017,194000.0,메리츠화재해상보험보통주,,,,221.62720103092784,0.1624179578215601,
60,2018,226000.0,메리츠화재해상보험보통주,,,,181.70312831858408,-0.04490614254079539,
60,2019,196000.0,메리츠화재해상보험보통주,,,,194.50786734693878,-0.0716272168837494,
70,2010,57300.0,삼양홀딩스보통주,596216756700.0,0.876659978651016,11.775404177734986,159.19378708551483,,
